"#","Reference","Qty","Value","Footprint","DNP"
"1","AE1","1","Antenna","Connector_Pin:Pin_D1.3mm_L11.3mm_W2.8mm_Flat",""
"2","C1, C16, C18","3","10mk","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"3","C2","1","22mk","Capacitor_THT:C_Radial_D6.3mm_H5.0mm_P2.50mm",""
"4","C3","1","C_Variable","",""
"5","C4","1","C","Capacitor_THT:C_Rect_L11.0mm_W2.8mm_P10.00mm_MKT",""
"6","C5","1","22","Capacitor_THT:C_Rect_L11.0mm_W2.8mm_P10.00mm_MKT",""
"7","C6","1","1.5n","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"8","C7, C9, C17","3","100n","Capacitor_THT:C_Rect_L16.5mm_W4.7mm_P15.00mm_MKT",""
"9","C8","1","68","Capacitor_THT:C_Rect_L11.0mm_W2.8mm_P10.00mm_MKT",""
"10","C10","1","220","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",""
"11","C11","1","56","Capacitor_THT:C_Rect_L11.0mm_W2.8mm_P10.00mm_MKT",""
"12","C12","1","3.3n","Capacitor_THT:C_Rect_L11.0mm_W2.8mm_P10.00mm_MKT",""
"13","C13","1","330","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT",""
"14","C14","1","270","Capacitor_THT:C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4",""
"15","C15","1","10n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"16","D1","1","1N4003","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"17","D2","1","~","Package_SO:SO-16_3.9x9.9mm_P1.27mm",""
"18","D3","1","BAW75","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"19","D4","1","LED","LED_THT:LED_D3.0mm",""
"20","J1, J2","2","Screw_Terminal_01x02","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree",""
"21","L1","1","L_Trim","Inductor_THT:L_Radial_L10.2mm_W10.2mm_Px7.62mm_Py7.62mm_Pulse_LP-30",""
"22","L2","1","L_Small","Inductor_THT:L_Radial_L10.2mm_W10.2mm_Px7.62mm_Py7.62mm_Pulse_LP-30",""
"23","Q1, Q2","2","BC549","Package_TO_SOT_THT:TO-92_Inline",""
"24","R1","1","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"25","R2","1","33k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"26","R3","1","270k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"27","R4","1","82k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"28","R5","1","15","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"29","R6","1","330","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"30","U1","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
